WID,ISLAND,YR_DRILLED,INIT_HEAD,INIT_HEAD2,INIT_HEAD3,Temp_F,Temp_C,GROUND_EL,WELL_DEPTH
8-4656-001,Hawaii,2006,,,,68.2,20.11111111,1340,1400
8-3558-001,Hawaii,2006,3.7,,,70,21.11111111,120,141
8-4856-002,Hawaii,2006,,,,74.5,23.61111111,954,1006
6-5229-005,Maui,2006,4.35,,,72.8,22.66666667,179,220
6-5229-004,Maui,2006,5.65,,,72.4,22.44444444,,210
6-5229-006,Maui,2006,4.5,,,72.5,22.5,,223
6-4225-001,Maui,2006,0.29,,,68.9,20.5,763,802
8-5007-001,Hawaii,2006,21.62,21.62,21.62,65,18.33333333,832.5,873.17
6-4300-003,Maui,2006,8.16,,9,69,20.55555556,351,402
8-6047-005,Hawaii,2006,,,,80.1,26.72222222,731,765
8-6853-003,Hawaii,2006,,,,,,,216
8-6853-004,Hawaii,2006,,,,82.9,28.27777778,238,255
6-5424-012,Maui,2006,,,,73.2,22.88888889,,34
8-6852-001,Hawaii,2006,,,,74,23.33333333,,348
8-7350-001,Hawaii,2006,6.01,,,68.1,20.05555556,800,860
6-5631-008,Maui,2006,,,,72.3,22.38888889,171,185
6-4226-019,Maui,2006,,,,,,,135
8-7350-002,Hawaii,2006,7.36,,,68.7,20.38888889,801,889
2-0419-005,Kauai,2006,,,,,,,260
2-0222-002,Kauai,2006,304.01,,,76.64,24.8,500,1180
2-1121-002,Kauai,2006,4.82,,,74.4,23.55555556,288,400
3-1705-001,Oahu,2006,,,,78.8,26,,120
3-1906-012,Oahu,2006,,,,62.2,16.77777778,,1303
6-5318-001,Maui,2006,,,,,,1161,1196
6-5424-013,Maui,2006,,,,73,22.77777778,,25
8-5207-001,Hawaii,2005,13.15,,,62.4,16.88888889,518,630
3-1752-002,Oahu,2005,,,,73.6,23.11111111,9,750
3-1752-001,Oahu,2005,,,,73.8,23.22222222,8,750
2-0523-001,Kauai,2005,484.71,,,73,22.77777778,687,786
6-4835-004,Maui,2005,2.73,,,78.6,25.88888889,61,73
3-1902-010,Oahu,2005,1.52,,,78,25.55555556,27,35
3-1902-011,Oahu,2005,1.53,,,78,25.55555556,25,33
3-1901-006,Oahu,2005,1.55,,,78,25.55555556,21,29
6-4424-001,Maui,2005,2.6,,,,,553,577
3-1902-009,Oahu,2005,1.49,,,78,25.55555556,28,35
6-5617-005,Maui,2005,,,,66,18.88888889,390,412
8-3306-002,Hawaii,2005,121.22,,,66.2,19,1380.08,1453
6-5424-011,Maui,2005,,,,73.4,23,,32
6-5517-005,Maui,2005,,,,67,19.44444444,473,495
2-0519-005,Kauai,2005,12.19,,,76,24.44444444,48,234
3-2801-003,Oahu,2005,275.3,,,73,22.77777778,830,650
6-3824-001,Maui,2005,5.16,,,77,25,1294,1322
8-4403-001,Hawaii,2005,3.3,,,70.34,21.3,11,405
8-4403-002,Hawaii,2005,0.3,,,67.64,19.8,11,23
6-5129-003,Maui,2005,4.46,,,75.2,24,232,300
8-3903-001,Hawaii,2005,15.46,,,65.66,18.7,241,275
6-0038-001,Maui,2005,,,,,,,54
8-5846-003,Hawaii,2005,4.81,,,79.8,26.55555556,1178,1257
6-5230-003,Maui,2005,8.63,,,70.3,21.27777778,506,608
2-0919-008,Kauai,2005,7.1,,,72.3,22.38888889,211,366
6-5831-001,Maui,2005,,,,67,19.44444444,,505
2-0738-001,Kauai,2005,3554.34,,,65,18.33333333,3558,119
8-1229-004,Hawaii,2005,362,,,66,18.88888889,1114,930
8-5746-001,Hawaii,2005,7,,,80,26.66666667,1111,1183
3-2858-004,Oahu,2005,,,,69.9,21.05555556,950,1148
6-5413-013,Maui,2005,,,,71,21.66666667,,410
6-3805-001,Maui,2005,,,,68,20,,495
8-3088-001,Hawaii,2005,16.77,,,69.8,21,827,930
2-5327-001,Kauai,2005,21.68,,,77.3,25.16666667,125,178
6-5514-010,Maui,2005,,,,69,20.55555556,,455
6-4326-013,Maui,2005,1.56,,,72.3,22.38888889,66,80
2-0521-009,Kauai,2005,,,,,,,270
8-2052-001,Hawaii,2005,4.89,,,,,1134.76,1165
2-5629-002,Kauai,2004,49.93,,,73.7,23.16666667,655,770
6-4835-003,Maui,2004,2.98,,,78.5,25.83333333,63,90
6-5615-007,Maui,2004,5.39,,,69.3,20.72222222,289,308
6-5417-003,Maui,2004,5.9,,,70,21.11111111,853,900
6-4930-001,Maui,2004,7.43,,,72,22.22222222,319,350
8-4657-003,Hawaii,2004,5.16,,,69.3,20.72222222,1335,1416
6-5731-006,Maui,2004,6.05,,,69,20.55555556,631,665
6-4326-011,Maui,2004,1.91,,,72.7,22.61111111,83,100
6-4126-005,Maui,2004,1.77,,,73,22.77777778,189,206
6-4425-001,Maui,2004,2.76,,,,,551,570
2-0519-004,Kauai,2004,12.2,,,76.8,24.88888889,7.97,263
6-5731-007,Maui,2004,6,,,67,19.44444444,622,655
3-1805-015,Oahu,2004,0.52,,,60.2,15.66666667,13,1600
8-5545-001,Hawaii,2004,6.8,,,80.6,27,1323,1390
6-4326-012,Maui,2004,1.92,,,73.1,22.83333333,80,95
6-3725-001,Maui,2004,2.1,,,,,264,280
8-7352-002,Hawaii,2004,2.57,,,,,475,493
6-5417-004,Maui,2004,8.07,,,69.1,20.61111111,845,875
6-5519-005,Maui,2004,,,,69,20.55555556,,485
2-0523-002,Kauai,2003,437.6,,,71.96,22.2,679,1000
8-6428-002,Hawaii,2003,42,,,76,24.44444444,1335,1800
2-0327-001,Kauai,2003,929.3,,,72.5,22.5,1006,605
2-1122-001,Kauai,2003,462.43,,,,,482,260
6-5118-002,Maui,2003,11.95,,,66.7,19.27777778,1811,1950
6-3810-001,Maui,2003,2.96,,,,,214,237
6-5238-001,Maui,2003,6.17,,,72,22.22222222,751,799
2-1120-040,Kauai,2003,,,,72.5,22.5,274,480
6-5412-001,Maui,2003,2.18,,,70.4,21.33333333,91,114
6-5514-008,Maui,2003,1.93,,,,,395,418
3-4157-013,Oahu,2003,11.39,,,71.2,21.77777778,6,300
6-5514-009,Maui,2003,2.85,,,69,20.55555556,90,115
6-4835-002,Maui,2003,4.86,,,,,141,152
4-0350-009,Molokai,2003,,,,71.6,22,,345
2-5629-001,Kauai,2003,48,,,72.4,22.44444444,648,775
8-6047-004,Hawaii,2003,4.94,,,80.2,26.77777778,720,765
6-4834-001,Maui,2003,2.07,,,80,26.66666667,27,35
3-1649-019,Oahu,2003,,,,,,,259
6-5424-010,Maui,2003,1.98,,,73.2,22.88888889,23,34
6-5617-003,Maui,2003,5.6,,,69,20.55555556,198,220
8-4959-020,Hawaii,2003,1.5,,,77,25,5,65
6-5617-002,Maui,2003,5.78,,,,,204,216
8-7352-001,Hawaii,2003,2.95,,,71.7,22.05555556,800,830
6-5617-004,Maui,2003,5.68,,,,,254,300
6-5840-004,Maui,2003,2.59,,,,,118,135
8-3957-005,Hawaii,2003,49.6,,,73,22.77777778,1601,1799
6-5531-001,Maui,2003,10.09,,,69,20.55555556,404,429
3-2308-004,Oahu,2003,0.47,,,72.3,22.38888889,67,110
3-3407-038,Oahu,2003,0.96,,,75.7,24.27777778,8,61
6-5840-006,Maui,2003,1.75,,,,,81,98
6-5840-005,Maui,2003,1.8,,,,,118,126
6-4226-018,Maui,2003,1.18,,,70,21.11111111,134,147
2-1020-005,Kauai,2003,10.7,,,69,20.55555556,284,462
2-0123-001,Kauai,2002,134,,,81.32,27.4,382,910
2-0222-001,Kauai,2002,254.32,,,,,313,804
2-5534-006,Kauai,2002,15.77,,,69.08,20.6,385,740
6-5418-001,Maui,2002,4.68,,,67.82,19.9,667,733
8-4657-002,Hawaii,2002,4.81,,,74,23.33333333,1345,1454
6-5614-003,Maui,2002,1.99,,,70,21.11111111,58,76
3-1805-013,Oahu,2002,0.68,,,58.82,14.9,14,1600
8-4757-004,Hawaii,2002,2.56,,,67.6,19.77777778,915,1013
2-0124-003,Kauai,2002,378.6,,,,,467,467
2-1221-009,Kauai,2002,3.1,,,74.4,23.55555556,289,440
6-5616-008,Maui,2002,4.14,,,,,288,321
6-5413-012,Maui,2002,1.86,,,70,21.11111111,398,420
6-5240-007,Maui,2002,,,,75,23.88888889,34,41
6-5424-008,Maui,2002,2.62,,,74,23.33333333,22,34
8-4760-001,Hawaii,2002,0.5,,,,,268.6,281
6-5615-006,Maui,2002,4.96,,,70,21.11111111,264,300
6-3926-011,Maui,2002,0.93,,,,,41,55
6-4026-013,Maui,2002,0.9,,,,,83,94
