WID,ISLAND,YR_DRILLED,INIT_HEAD,INIT_HEAD2,INIT_HEAD3,Temp_F,Temp_C,GROUND_EL,WELL_DEPTH
3-2052-013,Oahu,1996,22.3,,,71.06,21.7,189,339
8-3153-001,Hawaii,1996,1300.15,,,60.08,15.6,2530,1350
2-0022-001,Kauai,1995,258,,,,,278,700
3-2400-013,Oahu,1995,16,,,71.42,21.9,314,453
6-4829-003,Maui,1995,5,,,,,19,130
3-2659-004,Oahu,1995,21.1,,,70.88,21.6,578,738
3-2053-013,Oahu,1995,19.8,,,69.08,20.6,20,290
8-6017-005,Hawaii,1995,7.67,,,68,20,641,700
3-2051-001,Oahu,1995,21.61,,,72.5,22.5,549,705
2-0124-001,Kauai,1995,375,,,76.28,24.6,466,1033
3-2348-006,Oahu,1995,254.85,,,71.42,21.9,324,566
8-4208-001,Hawaii,1995,263.9,,,62.96,17.2,975,1032
8-4060-001,Hawaii,1995,2,,,,,121,137
2-1127-002,Kauai,1995,238.75,,,71.42,21.9,573,1250
3-2658-003,Oahu,1995,19.34,,,71.6,22,591,761
8-3589-001,Hawaii,1995,,,,69.08,20.6,195,200
3-2401-004,Oahu,1995,19.77,,,72.86,22.7,317,452
6-5530-004,Maui,1995,8.43,,,73.94,23.3,77,150
3-2401-005,Oahu,1995,19.77,,,72.14,22.3,316,454
2-5923-008,Kauai,1995,217.3,,,77.54,25.3,272,1002
3-2401-006,Oahu,1995,18.54,,,72.14,22.3,315,460
8-4959-003,Hawaii,1995,,,,73.94,23.3,4,80
3-2447-002,Oahu,1995,4.43,,,77.18,25.1,13,50
3-2447-003,Oahu,1995,5.11,,,77,25,14,50
8-4959-004,Hawaii,1995,,,,75.02,23.9,5,67
2-1120-025,Kauai,1995,82.6,,,75.02,23.9,133,90
8-4959-001,Hawaii,1995,,,,75.02,23.9,3,40
8-4959-002,Hawaii,1995,,,,75.02,23.9,3,40
3-2447-004,Oahu,1995,8.48,,,77.9,25.5,15,50
3-2658-004,Oahu,1995,19.4,,,70.34,21.3,764,896
6-5615-002,Maui,1995,10.68,,,71.96,22.2,276,360
5-4854-002,Lanai,1995,551.1,,,85.2,29.55555556,1194,950
8-4950-002,Hawaii,1995,11.41,,,71.6,22,2130,2208
2-1126-003,Kauai,1995,11.38,,,73.4,23,379,972
8-5307-003,Hawaii,1994,72.5,,,68,20,163,182
8-3355-003,Hawaii,1994,228,,,69.08,20.6,1650,1650
3-1805-012,Oahu,1994,0.4,,,,,10,45
3-2001-005,Oahu,1994,1.32,,,,,36,65
3-1805-011,Oahu,1994,0.5,,,,,11,45
3-2001-004,Oahu,1994,1.84,,,,,38,61
8-4057-001,Hawaii,1994,187.8,,,68,20,1762,1787
8-4859-001,Hawaii,1994,1.6,,,68,20,250,270
3-2508-012,Oahu,1994,,,,80.6,27,80,96
6-4026-007,Maui,1994,0.5,,,69.08,20.6,252,272
8-2354-001,Hawaii,1994,,,,,,9,13
6-5832-003,Maui,1994,6.84,,,69.98,21.1,610,630
8-6239-002,Hawaii,1994,1264.38,,,71.42,21.9,2822,1679
3-3309-001,Oahu,1994,18.71,,,71.6,22,261,391
3-2400-009,Oahu,1994,18.83,,,70.7,21.5,318,458
3-3309-002,Oahu,1994,18.49,,,75.2,24,294,415
3-2400-010,Oahu,1994,18.88,,,70.52,21.4,317,457
3-2001-009,Oahu,1994,1.42,,,77,25,35,56
3-3205-002,Oahu,1994,23.17,,,80.6,27,589,672
8-0437-001,Hawaii,1994,1014.11,,,63.32,17.4,1299,972
3-2400-011,Oahu,1994,20.4,,,70.34,21.3,312,455
6-3811-001,Maui,1994,1.2,,,,,59,75
2-1225-003,Kauai,1994,220.91,,,,,251,164
3-2003-007,Oahu,1994,,,,75.56,24.2,62,81
3-1948-004,Oahu,1994,65.2,,,72.86,22.7,160,565
3-2508-010,Oahu,1994,,,,,,93,102
3-2400-012,Oahu,1994,19.2,,,70.7,21.5,314,456
2-1127-001,Kauai,1993,10,,,,,411,750
6-5320-001,Maui,1993,4.64,,2,70.88,21.6,780,812
2-5428-001,Kauai,1993,37,,,,,249,970
8-3957-001,Hawaii,1993,47,,,69.98,21.1,1674,1706
2-5824-006,Kauai,1993,359.2,,,69.98,21.1,472,500
8-3056-001,Hawaii,1993,4,,,69.08,20.6,811,849
8-6337-002,Hawaii,1993,,,,64.04,17.8,3020,355
3-1806-015,Oahu,1993,0.3,,,,,12,121
8-7349-001,Hawaii,1993,7.16,,,69.98,21.1,792,847
8-5846-002,Hawaii,1993,6.3,,,,,1178,1275
3-1746-004,Oahu,1993,9.7,,,71.96,22.2,850,920
2-5634-002,Kauai,1993,18.8,,,74.3,23.5,463,568
3-3655-003,Oahu,1993,17.9,,,69.98,21.1,206,370
8-3155-002,Hawaii,1993,484.5,,,68.9,20.5,1747,1747
2-1225-002,Kauai,1993,257,,,,,,209
8-6428-001,Hawaii,1993,12,,,,,,1452
8-1652-001,Hawaii,1993,2.6,,,68,20,1201,1222
8-4905-002,Hawaii,1993,26.2,,,66.92,19.4,152,162
6-5439-002,Maui,1993,6.2,,,69.8,21,1055,1120
3-2002-014,Oahu,1993,,,,,,,70
6-5615-001,Maui,1993,5.39,,,,,214,256
3-3803-003,Oahu,1993,3.3,,,,,171,235
3-1905-010,Oahu,1993,1.25,,,,,65,94
3-3307-020,Oahu,1993,11.32,,,,,99,181
2-5825-003,Kauai,1993,336.6,,,,,472,450
6-5441-002,Maui,1993,,,,,,,97
8-3255-002,Hawaii,1993,306.5,,,32,0,1542,1600
3-2002-013,Oahu,1993,,,,,,43,70
8-4258-003,Hawaii,1993,191,,,69.8,21,1683,1822
8-4206-001,Hawaii,1993,243,,,,,380,465
6-5440-001,Maui,1993,0.44,,,,,148,162
3-2400-008,Oahu,1993,15.19,,,71.06,21.7,206,340
8-6649-002,Hawaii,1993,17.7,,,71.96,22.2,1746,1830
8-5352-001,Hawaii,1993,2,,,71.96,22.2,191,220
3-1805-010,Oahu,1993,0.2,,,,,10,45
2-5825-001,Kauai,1993,325.7,,,71.96,22.2,459,1000
3-2050-001,Oahu,1993,12.96,,,69.08,20.6,343,570
8-4461-002,Hawaii,1993,1,,,69.8,21,208,253
8-3355-002,Hawaii,1992,386,,,,,1658,1658
3-1904-003,Oahu,1992,,,,,,,70
6-5439-001,Maui,1992,6.6,,,68,20,1055,1115
2-1120-011,Kauai,1992,84.7,,,68,20,105,89
6-5420-002,Maui,1992,4.19,,7.3,71.96,22.2,702,736
8-2753-003,Hawaii,1992,357.7,,,67.46,19.7,1347,1343
8-4759-003,Hawaii,1992,0,,,77.54,25.3,593,618
8-4459-002,Hawaii,1992,7,,,74.84,23.8,1533,1625
3-2149-003,Oahu,1992,504,,,69.62,20.9,826,398
8-3585-002,Hawaii,1992,,,,69.98,21.1,10,256
6-4527-010,Maui,1992,,,,75.92,24.4,7,14
2-1120-009,Kauai,1992,,,,,,15,90
8-6549-003,Hawaii,1992,6.3,,,84.2,29,1651,1700
2-1120-008,Kauai,1992,,,,,,16,90
3-1905-009,Oahu,1992,2.25,,,76.1,24.5,54,80
8-4558-002,Hawaii,1992,22.5,,,73.04,22.8,1529,1600
8-5846-001,Hawaii,1992,,,,,,1147,1242
2-5824-007,Kauai,1992,355,,,70.16,21.2,470,407
3-1746-003,Oahu,1992,8,,,69.8,21,267,320
8-4462-002,Hawaii,1992,1.5,,,,,134,165
8-4950-001,Hawaii,1992,8,,,66.92,19.4,2105,2181
2-1019-004,Kauai,1992,9.29,,,,,203,310
8-4458-001,Hawaii,1991,9.9,,,71.96,22.2,1799,1952
8-5650-002,Hawaii,1991,,,,,,124,160
3-1905-007,Oahu,1991,0.5,,,,,49,78
8-4759-002,Hawaii,1991,1.2,,,,,551,570
3-2001-007,Oahu,1991,1.9,,,,,33,50
6-4125-001,Maui,1991,2.8,,,,,522,559
3-2001-008,Oahu,1991,1.9,,,,,36,61
8-3355-001,Hawaii,1991,278.09,,,,,1618,1585
6-4829-002,Maui,1991,,,,,,14,154
8-4459-001,Hawaii,1991,7.3,,,,,1534,1642
8-4757-001,Hawaii,1991,2.8,,,,,848,975
3-1907-002,Oahu,1991,0.17,,,,,5,41
3-1900-021,Oahu,1991,1,,,,,18,30
3-1905-008,Oahu,1991,,,,,,65,84
2-0221-002,Kauai,1991,,,,,,,36
8-5650-001,Hawaii,1991,2,,,,,137,180
3-2003-005,Oahu,1991,1.2,,,77,25,60,100
6-5429-002,Maui,1991,24.71,,,,,85,140
8-5749-001,Hawaii,1991,2,,,,,93,100
3-2250-002,Oahu,1991,535,,,,,560,180
3-2003-001,Oahu,1991,1.6,,,,,60,85
2-0818-003,Kauai,1991,9.65,,,75.2,24,267,466
4-0456-010,Molokai,1991,,,,,,39,15
8-6047-002,Hawaii,1991,4.3,,,,,706,758
8-4458-002,Hawaii,1991,10.2,,,78.44,25.8,1800,1880
8-4558-001,Hawaii,1991,7,,,,,1519,1598
2-1120-012,Kauai,1991,4.81,,,,,17,85
3-2003-003,Oahu,1991,,,,77,25,,77
8-4158-002,Hawaii,1991,109.5,,,70.34,21.3,1681,1735
3-2003-002,Oahu,1991,0.9,,,78.08,25.6,60,82
8-5651-003,Hawaii,1991,1.5,,,,,28,188
8-4007-001,Hawaii,1991,257.6,,,66.2,19,915,955
3-2451-001,Oahu,1991,218,,,,,1036,918
3-2712-032,Oahu,1991,1,,,,,8,51
3-2003-004,Oahu,1991,,,,75.92,24.4,59,73
8-5651-002,Hawaii,1991,1.8,,,,,45,310
2-1120-007,Kauai,1991,1,,,75.92,24.4,15,89
8-6235-001,Hawaii,1991,1657,,,64.04,17.8,2814,1415
3-1904-002,Oahu,1991,,,,,,,77
6-4125-002,Maui,1991,3.7,,,,,523,550
8-5546-002,Hawaii,1991,7.23,,,,,1217,1285
3-1902-003,Oahu,1991,1.5,,,,,36,51
3-1902-004,Oahu,1991,1.2,,,,,36,51
8-3585-001,Hawaii,1991,4.5,,,66.02,18.9,20,30
6-5631-005,Maui,1991,8.3,,,70,21.11111111,142,200
6-5631-006,Maui,1991,7.5,,,70,21.11111111,151,200
3-1805-004,Oahu,1990,2.61,,,80.96,27.2,13,25
3-1900-017,Oahu,1990,0.3,,,,,20,26
8-5551-001,Hawaii,1990,2,,,,,92,110
3-1805-007,Oahu,1990,1.12,,,80.06,26.7,14,25
3-1805-005,Oahu,1990,1.3,,,80.96,27.2,14,25
3-1900-018,Oahu,1990,0.5,,,,,20,25
3-1900-019,Oahu,1990,1.3,,,,,20,25
3-2006-016,Oahu,1990,14.25,,,,,154,200
3-1805-008,Oahu,1990,1.48,,,80.96,27.2,14,25
3-1900-020,Oahu,1990,0.8,,,,,20,25
3-1805-006,Oahu,1990,0.92,,,80.96,27.2,13,25
3-1805-009,Oahu,1990,1.78,,,80.06,26.7,14,40
3-1901-003,Oahu,1990,0.1,,,,,21,26
3-4158-014,Oahu,1990,1,,,,,10,135
3-4157-008,Oahu,1990,,,,,,10,108
3-4258-011,Oahu,1990,,,,,,5,225
3-2308-003,Oahu,1990,7,,,82.94,28.3,136,200
2-5824-005,Kauai,1990,350.5,,,,,413,346
2-1120-005,Kauai,1990,1.3,,,73.94,23.3,13,85
6-4527-008,Maui,1990,0.75,,,73.94,23.3,41,71
3-3655-002,Oahu,1990,17.8,,,68.54,20.3,162,351
5-4954-002,Lanai,1990,1014,,,,,1904,1490
3-2358-052,Oahu,1990,,,,,,15,75
3-1744-004,Oahu,1990,4.4,,,72.68,22.6,281,315
4-0705-005,Molokai,1990,3.2,,,77,25,254,281
3-2001-006,Oahu,1990,1,,,,,41,60
3-1850-028,Oahu,1990,,,,,,,35
6-4226-014,Maui,1990,,,,,,234,248
5-4854-001,Lanai,1990,808,,,,,1411,1451
6-4326-007,Maui,1990,2.9,,,71.96,22.2,64,84
3-1840-008,Oahu,1990,1,,,,,125,131
3-2402-003,Oahu,1990,17,,,,,417,610
3-4100-005,Oahu,1990,13.5,,,67.28,19.6,125,298
3-2810-003,Oahu,1990,17.9,,,77.54,25.3,416,782
3-3755-008,Oahu,1990,13.4,,,,,9,150
8-3357-004,Hawaii,1990,2,,,,,397,415
8-5553-002,Hawaii,1990,0.2,,,,,30,160
3-3453-011,Oahu,1990,8.71,,,,,24,100
3-2450-003,Oahu,1990,563,,,66.74,19.3,814,315
3-1806-013,Oahu,1990,0.8,,,,,11,124
8-4759-001,Hawaii,1990,1.6,,,,,591,610
8-6047-001,Hawaii,1990,4.6,,,,,724,764
6-4426-003,Maui,1990,1.87,,,68,20,124,157
2-5435-005,Kauai,1990,1,,,,,41,240
5-4552-001,Lanai,1990,5,,,95,35,605,630
3-1905-006,Oahu,1990,0.4,,,75.92,24.4,47,72
8-4757-002,Hawaii,1990,6,,,,,866,980
3-1806-014,Oahu,1990,2.66,,,77,25,13,125
3-1806-012,Oahu,1990,0.58,,,,,13,124
8-3657-002,Hawaii,1990,4.28,,,,,1146,1180
8-4358-001,Hawaii,1990,237.9,,,73.94,23.3,1799,1850
8-4905-001,Hawaii,1990,10,,,,,256,308
8-0139-001,Hawaii,1990,7.2,,,68,20,1259,1325
3-2951-002,Oahu,1989,38.9,,,,,196,400
3-2056-004,Oahu,1989,1.8,,,79.52,26.4,26,80
3-2056-005,Oahu,1989,1.8,,,79.52,26.4,24,80
3-2045-006,Oahu,1989,303,,,,,350,522
3-2303-005,Oahu,1989,16,,,,,433,545
6-3826-005,Maui,1989,2.57,,,,,203,231
2-1120-004,Kauai,1989,2.4,,,73.94,23.3,14,80
2-1120-003,Kauai,1989,3,,,73.94,23.3,13,90
3-2002-012,Oahu,1989,2.4,,,,,40,60
3-2811-003,Oahu,1989,31,,,,,265,370
3-1851-075,Oahu,1989,22.9,,,68.72,20.4,18,625
4-0352-010,Molokai,1989,5,,,,,42,75
8-7345-003,Hawaii,1989,10.3,,,70.7,21.5,396,495
8-7345-004,Hawaii,1989,10.2,,,,,396,440
3-2951-003,Oahu,1989,70.5,,,,,91,250
3-3902-004,Oahu,1989,3.47,,,,,466,500
8-7448-007,Hawaii,1989,8,,,76.1,24.5,415,429
8-3456-001,Hawaii,1989,3.5,,,,,1018,1047
3-1806-011,Oahu,1989,,,,,,12,115
8-7347-005,Hawaii,1989,11.4,,,71.6,22,628,730
6-5938-002,Maui,1989,6.8,,,,,764,822
3-2303-006,Oahu,1989,17.4,,,71.06,21.7,432,535
6-4226-013,Maui,1989,1.4,,,,,202,222
2-0622-002,Kauai,1989,466.6,,,73.94,23.3,517,1000
3-2811-004,Oahu,1989,27,,,,,258,370
8-7451-002,Hawaii,1989,4.2,,,71.6,22,567,632
8-5546-001,Hawaii,1989,8,,,,,1193,1317
8-4363-001,Hawaii,1989,1,,,69.8,21,15,32
8-4363-002,Hawaii,1989,1,,,69.8,21,15,32
8-4363-003,Hawaii,1989,1,,,69.8,21,15,32
8-4363-004,Hawaii,1989,1,,,69.8,21,15,32
8-4363-005,Hawaii,1989,1,,,69.8,21,15,32
8-4363-006,Hawaii,1989,1,,,69.8,21,15,32
8-4363-007,Hawaii,1989,1,,,69.8,21,15,32
8-4363-008,Hawaii,1989,1,,,69.8,21,15,32
8-4363-009,Hawaii,1989,1,,,69.8,21,15,32
8-4363-010,Hawaii,1989,1,,,69.8,21,15,32
8-6649-001,Hawaii,1989,136,,,,,1840,1925
2-5427-003,Kauai,1989,35.2,,,,,244,511
3-2001-003,Oahu,1989,1,,,,,38,56
3-2408-009,Oahu,1989,0,,,80.6,27,157,270
3-2006-015,Oahu,1988,14.3,,,73.94,23.3,195,300
3-1905-004,Oahu,1988,,,,73.94,23.3,,380
3-1906-005,Oahu,1988,,,,73.94,23.3,,250
3-1906-004,Oahu,1988,,,,73.94,23.3,,120
3-1906-003,Oahu,1988,,,,73.04,22.8,,120
3-1905-005,Oahu,1988,,,,75.92,24.4,,80
3-2911-004,Oahu,1988,107.29,,,74.66,23.7,690,797
3-2006-014,Oahu,1988,,,,,,179,285
6-3926-006,Maui,1988,1,,,,,240.84,263
4-0855-004,Molokai,1988,,,,66.02,18.9,,202
3-1900-016,Oahu,1988,2.12,,,,,14,33
3-2145-002,Oahu,1988,215.9,,,,,184,558
6-3926-008,Maui,1988,0.93,,,,,267.86,290
3-2347-002,Oahu,1988,200.5,,,,,234,130
4-0855-005,Molokai,1988,,,,,,,252
3-2659-003,Oahu,1988,21.8,,,,,572,700
8-3603-001,Hawaii,1988,0,,,68.54,20.3,602,664
3-2347-003,Oahu,1988,219,,,,,246,130
3-3103-001,Oahu,1988,272.1,,,72.5,22.5,965,1066
3-2145-003,Oahu,1988,264.1,,,,,286,587
6-3926-007,Maui,1988,1,,,,,220,242
3-2145-004,Oahu,1988,218,,,,,328,410
4-0855-006,Molokai,1988,,,,,,,282
8-5750-003,Hawaii,1988,1.3,,,,,60,70
3-1851-074,Oahu,1988,21,,,70.7,21.5,19,598
3-2303-004,Oahu,1988,12.2,,,,,421,555
2-5226-001,Kauai,1988,1,,,,,26,105
3-2710-004,Oahu,1988,27.9,,,,,102,150
3-2951-001,Oahu,1988,168.74,,,,,220,500
6-3926-009,Maui,1988,2,,,,,257.24,278
3-2145-005,Oahu,1988,223,,,,,329,535
3-2711-007,Oahu,1988,23.8,,,,,110,155
3-3902-003,Oahu,1988,3.8,,,,,420,454
8-5651-001,Hawaii,1988,2,,,,,121,130
8-5745-003,Hawaii,1988,17,,,75.92,24.4,1196,1330
3-2545-001,Oahu,1988,0.5,,,,,12,29
3-2303-002,Oahu,1987,16,,,71.96,22.2,411,563
3-2303-001,Oahu,1987,16,,,,,412,625
8-3804-001,Hawaii,1987,32.8,,,69.08,20.6,552,698
3-3213-007,Oahu,1987,6.9,,,73.94,23.3,60,80
8-4306-002,Hawaii,1987,42.3,,,62.96,17.2,278,445
2-5820-001,Kauai,1987,16,,,,,138,315
3-3554-005,Oahu,1987,17.6,,,68.54,20.3,108,1025
2-5821-004,Kauai,1987,11,,,,,125,375
8-6451-002,Hawaii,1987,2.6,,,,,238,245
3-2001-002,Oahu,1987,1.6,,,,,28,38
3-2145-001,Oahu,1987,142.4,,,,,166,402
4-0801-003,Molokai,1987,11.7,,,69.98,21.1,1037,1136
3-2659-002,Oahu,1987,16.8,,,69.62,20.9,571,710
3-2303-003,Oahu,1987,17.04,,,72.32,22.4,423,534
8-6451-003,Hawaii,1987,6.7,,,69.98,21.1,395,405
8-4203-015,Hawaii,1987,8.75,,,66.92,19.4,81,130
3-1906-006,Oahu,1987,,,,73.94,23.3,,118
8-6337-001,Hawaii,1987,1739.6,,,64.04,17.8,3023,1744
3-1845-001,Oahu,1986,7.45,,,68.54,20.3,380,490
3-2006-013,Oahu,1986,13.24,,,,,58,120
8-4658-002,Hawaii,1986,7,,,69.8,21,1343,1444
6-5228-018,Maui,1986,3.7,,,,,90,140
6-5228-017,Maui,1986,2.9,,,,,79,117
2-0623-004,Kauai,1986,455.2,,,73.04,22.8,516,1023
3-1851-073,Oahu,1986,19.17,,,,,13,777
3-1806-010,Oahu,1986,0.2,,,,,12,105
3-1806-009,Oahu,1986,0.3,,,,,12,103
8-6550-001,Hawaii,1986,3.7,,,,,675,700
8-6953-001,Hawaii,1986,0.1,,,,,37,40
3-2853-004,Oahu,1986,485.2,,,66.56,19.2,493,186
3-4100-004,Oahu,1986,,,,,,131,263
2-5530-004,Kauai,1986,23.95,,,,,662,810
6-5328-049,Maui,1986,,,,75.02,23.9,51,107
3-2853-005,Oahu,1986,487.9,,,66.92,19.4,490,251
2-0519-001,Kauai,1986,12.2,,,,,8,221
2-1325-001,Kauai,1986,7,,,75.02,23.9,200,225
2-5721-001,Kauai,1986,,,,,,23,325
2-0739-001,Kauai,1986,3549.42,,,,,3560,39
2-0739-002,Kauai,1986,3532.5,,,,,3544,22
3-2348-005,Oahu,1986,257.5,,,73.22,22.9,342,550
2-0221-001,Kauai,1986,4.7,,,,,17,61
6-5519-003,Maui,1986,5,,,24.7,-4.055555556,446,480
8-5946-004,Hawaii,1985,7,,,,,1085,1144
8-4160-002,Hawaii,1985,1.5,,,,,542,561
8-3457-003,Hawaii,1985,,,,,,366,387
3-2858-002,Oahu,1985,22.8,,,69.8,21,960,1160
2-5631-002,Kauai,1985,41.13,,,68.9,20.5,892,1030
6-3826-004,Maui,1985,0,,,,,173,195
3-2248-001,Oahu,1985,299.2,,,,,467,737
3-2858-003,Oahu,1985,22.8,,,68,20,960,1160
8-6223-001,Hawaii,1985,11.6,,,67.1,19.5,1054,1148
2-1232-002,Kauai,1985,9.8,,,,,65,300
3-1805-003,Oahu,1985,,,,,,10,50
8-4160-001,Hawaii,1985,2.5,,,,,565,584
8-3457-002,Hawaii,1985,2.9,,,69.98,21.1,723,765
6-4300-002,Maui,1985,6.5,,,66.2,19,350,400
3-2909-003,Oahu,1985,1209.9,,,68.9,20.5,1339,1000
2-0421-002,Kauai,1985,14.4,,,,,460,560
6-5832-002,Maui,1985,,,,71.06,21.7,608,670
8-4559-001,Hawaii,1985,7.8,,,71.96,22.2,1579,1690
3-1748-013,Oahu,1984,25,,,69.98,21.1,40,100
6-5108-001,Maui,1984,6.1,,,,,214,330
3-4257-001,Oahu,1984,,,,,,11,137
3-4257-002,Oahu,1984,,,,,,10,137
3-2858-001,Oahu,1984,22.8,,,69.98,21.1,961,1160
6-3926-004,Maui,1984,0,,,,,211.92,230
3-3307-019,Oahu,1984,23.37,,,72.86,22.7,201.77,302
6-3926-005,Maui,1984,,,,,,203.36,224
3-2349-002,Oahu,1984,362,,,66.74,19.3,412,460
3-1649-015,Oahu,1984,,,,80.06,26.7,,31
3-1649-016,Oahu,1984,,,,80.06,26.7,,32
3-1649-017,Oahu,1984,,,,79.52,26.4,,35
3-1843-001,Oahu,1983,3.7,,,69.98,21.1,218,268
3-2400-006,Oahu,1983,21,,,72.14,22.3,211,344
3-1747-003,Oahu,1983,11.4,,,69.44,20.8,310,410
3-1948-001,Oahu,1983,73.8,,,69.44,20.8,386,786
3-4258-010,Oahu,1983,,,,,,5,140
8-4003-003,Hawaii,1983,12.2,,,69.08,20.6,206,303
3-2400-005,Oahu,1983,19.3,,,72.14,22.3,207,342
8-5239-001,Hawaii,1983,1509,,,89.06,31.7,4260,4350
4-1058-001,Molokai,1983,9,,,68.9,20.5,472,582
8-3657-001,Hawaii,1983,5.64,,,69.98,21.1,1123,1172
2-5840-002,Kauai,1983,7.7,,,,,116,137
4-1058-003,Molokai,1983,410,,,69.08,20.6,472,150
3-3010-012,Oahu,1983,1185,,,66.92,19.4,1088,560
6-5739-001,Maui,1982,4.7,,,66.2,19,868,922
2-5923-007,Kauai,1982,225.5,,,,,363,200
3-3856-008,Oahu,1982,19.2,,,71.42,21.9,185,392
3-3554-004,Oahu,1982,20,,,,,134,315
3-2055-003,Oahu,1982,,,,80.42,26.9,,80
6-5739-002,Maui,1982,5.8,,,,,945,992
2-5824-004,Kauai,1982,,,,,,484,475
8-6549-002,Hawaii,1982,,,,,,1449,1560
6-5738-001,Maui,1982,5.6,,,66.2,19,948,984
3-3454-001,Oahu,1982,20.7,,,69.44,20.8,165,567
3-3011-003,Oahu,1981,959.39,,,69.98,21.1,970,1001
8-4658-001,Hawaii,1981,6.9,,,72.5,22.5,1343,1440
3-2004-004,Oahu,1981,14.9,,,75.02,23.9,141,268
8-6249-001,Hawaii,1981,,,,,,25,30
8-3588-001,Hawaii,1981,8.08,,,62.06,16.7,145,168
3-1745-001,Oahu,1981,3.71,,,67.1,19.5,379,440
6-5631-002,Maui,1981,10.35,,,,,281,387
8-3802-006,Hawaii,1981,14,,,,,226,251
3-2751-008,Oahu,1981,,,,,,,220
6-5631-003,Maui,1981,9.35,,,,,281,387
3-2909-002,Oahu,1981,1182,,,71.78,22.1,1152,980
3-1940-010,Oahu,1981,1,,,80.6,27,35,262
6-5431-004,Maui,1981,14.7,,,71.06,21.7,494,650
2-5426-005,Kauai,1981,24,,,,,222,420
3-3010-011,Oahu,1981,1100,,,68,20,1042,1000
2-5923-005,Kauai,1981,238.1,,,,,384,295
2-5923-006,Kauai,1981,311,,,,,393,240
8-6450-001,Hawaii,1980,,,,,,395,412
3-4057-016,Oahu,1980,15.78,,,71.06,21.7,210,365
8-6048-003,Hawaii,1980,2.9,,,,,315,347
3-2600-003,Oahu,1980,,,,71.24,21.8,664,814
4-0456-006,Molokai,1980,3.37,,,,,223,233
8-5946-002,Hawaii,1980,6.6,,,80.6,27,1089,1164
2-5923-004,Kauai,1980,225,,,,,369,201
3-2810-002,Oahu,1980,12.9,,,77,25,416,670
8-5946-003,Hawaii,1980,7.6,,,,,1088,1158
2-5824-003,Kauai,1980,347.3,,,,,408,200
3-4258-009,Oahu,1980,,,,,,5,140
4-0456-009,Molokai,1980,1.5,,,,,225,235
8-0953-001,Hawaii,1980,3.8,,,69.8,21,848,880
6-3903-003,Maui,1980,78,,,66.2,19,390,410
3-3310-001,Oahu,1980,21,,,,,470,575
2-5533-002,Kauai,1980,22.5,,,,,99,401
3-2651-003,Oahu,1980,332.7,,,67.64,19.8,419,450
3-3310-002,Oahu,1980,20.5,,,66.92,19.4,367,442
4-0456-008,Molokai,1980,1.5,,,,,232,243
3-3310-003,Oahu,1980,20.3,,,71.06,21.7,185,292
6-5229-003,Maui,1980,,,,75.5,24.16666667,152,180
6-5229-002,Maui,1980,3.5,,,75.4,24.11111111,142,200
6-5838-004,Maui,1979,5.8,,,68.9,20.5,,919
6-5413-001,Maui,1979,,,,,,,210
4-0458-004,Molokai,1979,2.4,,,,,40,48
4-0456-007,Molokai,1979,2.4,,,,,54,63
6-5328-048,Maui,1979,4,,,,,44,80
6-5419-001,Maui,1979,2.3,,,68,20,828,869
2-5824-002,Kauai,1979,419,,,,,488,250
3-2803-007,Oahu,1979,201,,,,,872,990
6-3904-004,Maui,1979,0.5,,,,,210,215
8-6549-001,Hawaii,1979,7.25,,,,,1460,1550
8-6049-005,Hawaii,1979,3.2,,,,,300,340
6-5138-001,Maui,1979,4.61,,,73.94,23.3,633,677
4-0801-002,Molokai,1979,7.8,,,68,20,1011,1100
3-3405-003,Oahu,1979,10,,,71.24,21.8,207,336
3-3405-004,Oahu,1979,10.01,,,71.24,21.8,208,336
8-6528-001,Hawaii,1979,4.51,,,73.58,23.1,856,909
3-4057-015,Oahu,1979,13.27,,,69.98,21.1,211,418
2-0919-003,Kauai,1979,11.5,,,73.4,23,344,500
3-2859-002,Oahu,1979,,,,70.52,21.4,835,985
3-2600-004,Oahu,1979,,,,,,665,815
6-3826-001,Maui,1978,2.21,,,,,202.25,222
2-5923-003,Kauai,1978,249.6,,,75.2,24,362,272
6-3826-002,Maui,1978,2.08,,,,,198.58,220
2-5943-002,Kauai,1978,7.51,,,73.04,22.8,180,220
6-3904-003,Maui,1978,3,,,66.2,19,453,480
3-2859-001,Oahu,1978,17.89,,,71.06,21.7,835,995
8-2653-001,Hawaii,1978,4.25,,,67.1,19.5,882,913
6-3808-001,Maui,1978,500,,,,,520,90
3-2500-001,Oahu,1978,17.95,,,71.42,21.9,416,546
2-5821-002,Kauai,1978,7.7,,,,,156,300
3-2500-002,Oahu,1978,18,,,71.24,21.8,419,560
3-1805-002,Oahu,1978,,,,,,18,100
6-3826-003,Maui,1978,1.58,,,,,206.79,228
6-5838-003,Maui,1978,6.83,,,69.8,21,911,942
8-4850-001,Hawaii,1978,18.8,,,77.9,25.5,2313,6800
8-4650-001,Hawaii,1978,231.6,,,76.64,24.8,2550,5595
3-2052-011,Oahu,1977,,,,,,90,334
6-5339-003,Maui,1977,2.5,,,67.46,19.7,590,642
2-5426-004,Kauai,1977,25.1,,,72.68,22.6,157,393
3-2459-025,Oahu,1977,0,,,,,21,100
2-5923-002,Kauai,1977,225.9,,,74.3,23.5,372,187
3-2557-003,Oahu,1977,15.21,,,70.34,21.3,620,750
